"movie","break_even","earnings_ratio","budget_raw","worldwide_gross","production_budget","even"
"The Chronicles of Narnia: The Lion, the Witch and the Wardrobe",1,4.16,180000000,"$748,806,957","$180,000,000","Made money"
"WALL-E",1,2.96,180000000,"$532,590,994","$180,000,000","Made money"
"Rush Hour 3",1,1.41,180000000,"$253,025,968","$180,000,000","Made money"
"Hugo",1,1.03,180000000,"$185,033,215","$180,000,000","Made money"
"Up",1,4.18,175000000,"$731,542,621","$175,000,000","Made money"
"Monsters vs. Aliens",1,2.18,175000000,"$381,687,380","$175,000,000","Made money"
"G.I. Joe: The Rise of Cobra",1,1.73,175000000,"$302,469,017","$175,000,000","Made money"
"Wild Wild West",1,1.26,175000000,"$221,229,335","$175,000,000","Made money"
"The Mummy: Tomb of the Dragon Emperor",1,2.32,175000000,"$405,760,225","$175,000,000","Made money"
"Evan Almighty",0,0.99,175000000,"$173,219,280","$175,000,000","Lost money"
"Waterworld",1,1.51,175000000,"$264,246,220","$175,000,000","Made money"
"47 Ronin",0,0.86,175000000,"$150,962,475","$175,000,000","Lost money"
"Iron Man 2",1,3.67,170000000,"$623,561,331","$170,000,000","Made money"
"Thor: The Dark World",1,3.73,170000000,"$633,360,018","$170,000,000","Made money"
"The Polar Express",1,1.88,170000000,"$319,049,659","$170,000,000","Made money"
"Snow White and the Huntsman",1,2.36,170000000,"$400,911,200","$170,000,000","Made money"
"Terminator 3: Rise of the Machines",1,2.55,170000000,"$433,058,296","$170,000,000","Made money"
"Van Helsing",1,1.77,170000000,"$300,150,546","$170,000,000","Made money"
"Shrek Forever After",1,4.58,165000000,"$756,244,673","$165,000,000","Made money"
"How to Train Your Dragon",1,3,165000000,"$494,870,991","$165,000,000","Made money"
"Wreck-It Ralph",1,2.87,165000000,"$473,412,677","$165,000,000","Made money"
"Cowboys and Aliens",1,1.08,163000000,"$175,910,315","$163,000,000","Made money"
"Shrek the Third",1,5.05,160000000,"$807,330,936","$160,000,000","Made money"
"Inception",1,5.2,160000000,"$832,584,416","$160,000,000","Made money"
"Fast and Furious 6",1,4.94,160000000,"$789,917,881","$160,000,000","Made money"
"X-Men: First Class",1,2.22,160000000,"$355,408,305","$160,000,000","Made money"
"The Curious Case of Benjamin Button",1,2.06,160000000,"$329,809,326","$160,000,000","Made money"
"The Sorcerer's Apprentice",1,1.34,160000000,"$215,150,991","$160,000,000","Made money"
"Poseidon",1,1.14,160000000,"$181,674,817","$160,000,000","Made money"
