Key	Latitude	Longitude	FIPScode	TZ	Population
Shinuhayr, Armenia	39.436700	46.317870	08	Asia/Yerevan	2206
Shahumyan, Armenia	39.938450	44.569730	02	Asia/Yerevan	3905
Shatin, Armenia	39.835680	45.301860	10	Asia/Yerevan	1671
Shaghat, Armenia	39.562530	45.914330	08	Asia/Yerevan	1011
Rrind, Armenia	39.760220	45.179070	10	Asia/Yerevan	1368
Noyakert, Armenia	39.831200	44.668990	02	Asia/Yerevan	1751
Mrgavan, Armenia	39.971670	44.533180	02	Asia/Yerevan	1713
Meghri, Armenia	38.902920	46.244580	08	Asia/Yerevan	4540
Malishka, Armenia	39.737580	45.390040	10	Asia/Yerevan	4174
Khndzoresk, Armenia	39.512240	46.432840	08	Asia/Yerevan	1940
Kapan, Armenia	39.207540	46.405760	08	Asia/Yerevan	33160
Jermuk, Armenia	39.841730	45.672300	10	Asia/Yerevan	4582
Goris, Armenia	39.512880	46.338160	08	Asia/Yerevan	20379
Gladzor, Armenia	39.781230	45.350430	10	Asia/Yerevan	2080
Getap', Armenia	39.763060	45.306640	10	Asia/Yerevan	1842
Dzorastan, Armenia	39.270590	46.357200	08	Asia/Yerevan	1034
Dalar, Armenia	39.976530	44.526490	02	Asia/Yerevan	2504
Burastan, Armenia	39.991570	44.496820	02	Asia/Yerevan	1998
Brun, Armenia	39.534910	46.307320	08	Asia/Yerevan	1028
Brrnakot', Armenia	39.497420	45.972410	08	Asia/Yerevan	1912
Berkanush, Armenia	39.977260	44.513940	02	Asia/Yerevan	1682
Aygezard, Armenia	39.954360	44.602300	02	Asia/Yerevan	3192
Aygepat, Armenia	39.958450	44.599820	02	Asia/Yerevan	1349
Aygavan, Armenia	39.873260	44.669840	02	Asia/Yerevan	3758
Avshar, Armenia	39.853600	44.679300	02	Asia/Yerevan	4215
Hats'avan, Armenia	39.464050	45.970470	08	Asia/Yerevan	15208
