Criteria ID,Name,Canonical Name,Parent ID,Country Code,Target Type
1013167,Barling,"Barling,Arkansas,United States",21135,US,City
1013168,Batesville,"Batesville,Arkansas,United States",21135,US,City
1013169,Bauxite,"Bauxite,Arkansas,United States",21135,US,City
1013170,Bay,"Bay,Arkansas,United States",21135,US,City
1013171,Beebe,"Beebe,Arkansas,United States",21135,US,City
1013172,Bella Vista,"Bella Vista,Arkansas,United States",21135,US,City
1013173,Benton,"Benton,Arkansas,United States",21135,US,City
1013174,Bentonville,"Bentonville,Arkansas,United States",21135,US,City
1013175,Berryville,"Berryville,Arkansas,United States",21135,US,City
1013176,Bigelow,"Bigelow,Arkansas,United States",21135,US,City
1013177,Blytheville,"Blytheville,Arkansas,United States",21135,US,City
1013178,Booneville,"Booneville,Arkansas,United States",21135,US,City
1013179,Bradford,"Bradford,Arkansas,United States",21135,US,City
1013180,Branch,"Branch,Arkansas,United States",21135,US,City
1013181,Brinkley,"Brinkley,Arkansas,United States",21135,US,City
1013182,Brockwell,"Brockwell,Arkansas,United States",21135,US,City
1013183,Brookland,"Brookland,Arkansas,United States",21135,US,City
1013184,Bryant,"Bryant,Arkansas,United States",21135,US,City
1013185,Burdette,"Burdette,Arkansas,United States",21135,US,City
1013186,Cabot,"Cabot,Arkansas,United States",21135,US,City
1013187,Calico Rock,"Calico Rock,Arkansas,United States",21135,US,City
1013188,Camden,"Camden,Arkansas,United States",21135,US,City
1013189,Carlisle,"Carlisle,Arkansas,United States",21135,US,City
1013190,Carthage,"Carthage,Arkansas,United States",21135,US,City
1013191,Cave City,"Cave City,Arkansas,United States",21135,US,City
1013192,Center Ridge,"Center Ridge,Arkansas,United States",21135,US,City
1013193,Charleston,"Charleston,Arkansas,United States",21135,US,City
1013194,Charlotte,"Charlotte,Arkansas,United States",21135,US,City
1013195,Cherokee Village,"Cherokee Village,Arkansas,United States",21135,US,City
1013196,Clarendon,"Clarendon,Arkansas,United States",21135,US,City
1013197,Clarksville,"Clarksville,Arkansas,United States",21135,US,City
1013198,Clinton,"Clinton,Arkansas,United States",21135,US,City
1013199,Compton,"Compton,Arkansas,United States",21135,US,City
